Multilingual,lg family,family code ,Language (group),alternate lg (group),language code,Language (based on native name),dialect code,ISO 3 Letter country code,OfficialVillageName,MajorCity,PopulationNumber,village (RB),village (DNAFLA),village (SIL),village (map),Transcribed Village Name,N Lat,W Lon,NFr,WFr,Nmn60,Wmn60,NMinFr,WMinFr,Ndg,Wdg,N Lat_2,W Lon_2,N SIL,W SIL,N Lat source,WLon source,N Lat map,WLon map,N Lat us,W Long us,sourceOfCoordinates,name of map,lg comment,industries,weekly market,surnames,social info,Image,ImageDescription,Audio,AudioTranscription,Video,VideoTranscription
Y,(multiple),,,,,,,MLI,Bandiagara,Y,,,,,Bandiagara,,14.35,-3.616,,,21.0,37.0,21,37,14,03,14 21,03 37,,,,,14 21,03 37,,,map,Bandiagara,"multilingual, zone traditionally Dogon (Donno-So)",,,,main administrative center for the Dogon heartland; scheduled to become a provincial capital,,,,,,
Y,(multiple),,,,,,,MLI,Douentza,Y,,,,,Douentza,duwayⁿsa (Fulfulde),15.0,-2.952,0.027,0.237,,57.0,00.027,57.237,15,02,15 00.027,02 57.237,,,,,14 60,02 57,15 00.027,02 57.237,Dogon project,Douentza,multilingual,,"Sunday, major regional market",,"increasingly cosmopolitan city, mostly Fulfulde-speaking in the older sections, mostly Bambara in the new quarters near the highway",,,,,,
Y,(multiple),,,,,,,MLI,Mopti,Y,,,,,Mopti,,14.483,-4.188,,0.5,29.0,11.0,29,11.5,14,04,14 29,04 11.5,,,,,14 29,04 11.5,,,map,Mopti,"multilingual (lingua franca traditionally Fulfulde, now increasingly Bambara)",,,,provincial capital,,,,,,
Y,(multiple),,,,,,,MLI,San,Y,,,,,San,,13.292,-4.889,0.888,0.655,17.0,53.0,17.888,53.655,13,04,13 17.888,04 53.655,,,,,13 18,04 53,13 17.888,04 53.655,Dogon project,San,,,,,largest town on highway from Segou to Mopti; zone is predominantly Bobo-speaking,,,,,,
Y,(multiple),,,,,,,MLI,Sevare,Y,,,,,Sévaré,,14.533,-4.1,,,32.0,6.0,32,06,14,04,14 32,04 06,,,,,14 32,04 06,,,map,Mopti,"multilingual, mostly Fulfulde and Bambara",,,,the fast-growing city at the turnoff for Mopti from the main Bamako to Gao highway,,,,,,
Y,(multiple),,,,,,,MLI,Sofara,Y,,,,,Sofara,,14.016,-4.066,,,1.0,4.0,01,04,14,04,14 01,04 04,,,,,14 01,04 04,,,map,Mopti,"multilingual, mostly Fulfulde and Bambara, also Tomo-Kan",,,,,,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Adakaoura-Fulbe,,,,,,Adakaoura,àná-kàrúwà (Togo Kan),14.102,-3.369,0.204,0.259,6.0,22.0,06.204,22.259,14,03,14 06.204,03 22.259,,,,,,,14 06.204,03 22.259,Dogon project,Bandiagara,,,,,Fulbe village (huts) inear Adakoura (Togo Kan village); surname Boli; farming and herding,,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Aïnga,,,,,,,ayiŋga,,,,,,,,,,,,,,,,,,,,,,Bambara Maoudé,,,,,small village on summit near Nokara,,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Amdallaye,,,,,,Amdallaye,hamdalla:y,14.333,-4.116,,,20.0,7.0,20,07,14,04,14 20,04 07,,,,,14 20,04 07,,,map,Mopti,,,,,,,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Anga,,,,,,Anga,aŋga,14.722,-3.569,0.598,0.29,43.0,34.0,43.598,34.290,14,03,14 43.598,03 34.290,,,,,,,14 43.598,03 34.290,Dogon project,Bandiagara,"Fulfulde is dominant language, but most are ethnic Dogon",,,,"village on plateau among ravines and rock pools; originally settled by Fulbe from Dé and Amba in Tommo-So zone; many surnames: Bamiya (chief's family), Karambe, Nantoumme, Koloba (leatherworkers), Dolo (from Sangha), Guindo; extensive year-round gardens adjacent to village (mango, banana, sugar cane, cassava)",,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Balaguira-Foulbe,,,,,,,balgina-fulɓe (Fulfulde); bàlà-gìnà fúlàmbò: (Tomo-Kan),,,,,,,,,,,,,,,,,,,,,,San,,,,,"[near Balaguira-Habe] village; Fulbe and Rimaibe; surnames Sangare, Diallo, Diagayete, Diakite, and Baye (for Fulbe); Tamboura, Traore, Koulibaly (Rimaibe)",,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Banggel-Diaoule,,,,,,,"baanggel-jawle (""mountain-guinea.fowl"")",15.27,-1.785,0.383,0.218,16.0,47.0,16.383,47.218,15,01,15 16.383,01 47.218,,,,,,,15 16.383,01 47.218,Dogon project,Hombori (not shown),,,,surname Diallo;,"village in plains not far from la Main de Fatouma mountain;  mostly herding, some farming",,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Bankisa,,,,,,,baŋkisa,15.204,-2.776,0.485,0.957,12.0,46.0,12.485,46.957,15,02,15 12.485,02 46.957,,,,,,,15 12.485,02 46.957,Dogon project,Bambara Maoudé,,,,surname Diallo; ,small village; Fulbe; surname Diallo; in March most people out in fields with animals to supply manure,,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,BFA,Baraboule,,,,,,Baraboulé,barabulle,14.216,-1.85,,,13.0,51.0,13,51,14,01,14 13,01 51,,,,,14 13,01 51,,,map,Djibo,,,,,town in Burkina Faso; surname Dicko,,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Beeri,,,,,,Béré,beeri,14.634,-3.859,0.16,0.94,38.0,51.0,38.160,51.940,14,03,14 38.160,03 51.940,,,,,,,14 38.160,03 51.940,Dogon project,Bandiagara,,,,,"Fulbe-Rimaibe hamlet on plain; surnames Bari, Diallo",,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Bile-Dounggouwal,,,,,,,bile-duŋguwal,15.25,-1.787,0.068,0.432,15.0,47.0,15.068,47.432,15,01,15 15.068,01 47.432,,,,,,,15 15.068,01 47.432,Dogon project,Hombori (not shown),,,,surname Diallo; ,"small village in rock-strewn plain near fields, near Mt Wari and la Main de Fatouma; originally split off from Banggel-Diaoule; mostly herding, some farming",,,,,,
