NUMBER	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS
1	(1Sg independent pronoun)	1209	
2	(2Sg independent pronoun)	1213	
3	(Existential particle, with 'be' and 'have')	1579	
4	(e.g. bird) fly	1441	FLY (MOVE THROUGH AIR) (verb)
5	(plant) sprout, come up (verb)	2076	SPROUT (VERB) (verb)
6	(political) chief, boss	2394	CHIEF (noun)
7	(quotative particle: indicate if not clause-final)		
8	(rain) fall (verb only)	2234	FALL (OF SNOW AND RAIN) (verb)
9	(sb, mammal) bite (sb)	1403	
10	(single) grain, seed, nut	714	SEED (noun)
11	(snake) bite (sb)	1403	BITE (verb)
12	(sth) not exist, there is/are not		
15	African eggplant (similar to tomato) in two varieties		
16	I am (copula, with noun)	1579	
17	above (sth)	1741	ABOVE
18	all, every	98	ALL
19	also, too		
20	animal fat (in meat)	323	
21	arm, hand	2121	ARM OR HAND (noun)
23	ashes	646	
25	back (body)	1291	BACK (noun)
26	bad, no good	1292	BAD (adjective)
27	belly	1251	BELLY (noun)
28	beside, at the side of (sth)	1816	BESIDE
29	between ... and ...	689	BETWEEN
31	big, large	1202	BIG (adjective)
33	bird (any)	937	BIRD (noun)
35	bitter (in taste)	887	BITTER (adjective)
37	black, dark	2633	BLACK (adjective)
38	blacksmith, member of blacksmith caste	1001	BLACKSMITH (noun)
39	blood	946	BLOOD (noun)
40	blow on (e.g. fire)	176	BLOW (OF WIND) (verb)
41	blow one's nose		
42	blunt, not sharp (blade)	379	BLUNT (adjective)
43	bone	1394	BONE (noun)
44	breast	1402	BREAST (noun)
45	breathe	1407	BREATHE (verb)
46	burn (e.g. paper, grass, fabric)	141	BURN (SOMETHING) (verb)
47	carry (sth, on one's head)	414	CARRY ON HEAD (verb)
48	cassava	925	CASSAVA (noun)
49	child	2099	CHILD (noun)
51	circle	1467	CIRCLE (noun)
52	cloud	1489	CLOUD (noun)
53	cold (e.g. water)	1287	COLD (adjective)
54	come	1446	COME (verb)
55	corn, maize	506	MAIZE (noun)
56	count (things), recite (numbers)	1420	COUNT (verb)
57	cow, bull (any bovine)	1153	COW (noun)
58	cow-pea		
59	cultivated sesame (Sesamum indicum)		
60	daytime (not night)	1225	
61	die	1494	DIE (verb)
62	dig (sth)	1418	DIG (verb)
63	dirty	1230	DIRTY (adjective)
64	do, make	2575	DO OR MAKE (verb)
65	dog	2009	DOG (noun)
66	domestic animal (esp. livestock)	631	
67	drink (sth)	1401	DRINK (FLUID) (noun)
68	dry (adjective)	1398	DRY (adjective)
69	dust	2	DUST (noun)
70	ear	1247	EAR (noun)
71	earth (as brick mix or to repair walls)	2158	EARTH (SOIL) (noun)
72	easy (work)	686	EASY (adjective)
73	eat (meal)	1336	EAT (verb)
74	egg	744	EGG (noun)
75	eight	1705	EIGHT
76	exist, there is/are	2152	THERE IS OR THERE ARE (verb)
77	eye	1248	EYE (noun)
78	fall	1280	FALL (verb)
79	far	1406	FAR (adjective)
80	far, distant	1406	FAR (adjective)
81	feather	1201	FEATHER (noun)
82	female breast	1402	BREAST (noun)
83	finger	1303	FINGER (noun)
84	fingernail, toenail	1896	FINGERNAIL OR TOENAIL (noun)
85	fire	221	FIRE (noun)
86	firewood	10	FIREWOOD (noun)
87	first (adj)	728	FIRST
