Multilingual,lg family,Language (group),alternate lg (group),Language (based on native name),OfficialVillageName,Transcribed Village Name,N Lat,W Lon,lg comment,industries,weekly market,surnames,social info
Y,(multiple),,,,Bandiagara,,14.350,-3.616,"multilingual, zone traditionally Dogon (Donno-So)",,,,main administrative center for the Dogon heartland; scheduled to become a provincial capital
Y,(multiple),,,,Douentza,duwayⁿsa (Fulfulde),15.000,-2.952,multilingual,,"Sunday, major regional market",,"increasingly cosmopolitan city, mostly Fulfulde-speaking in the older sections, mostly Bambara in the new quarters near the highway"
Y,(multiple),,,,Mopti,,14.483,-4.188,"multilingual (lingua franca traditionally Fulfulde, now increasingly Bambara)",,,,provincial capital
Y,(multiple),,,,San,,13.292,-4.889,,,,,largest town on highway from Segou to Mopti; zone is predominantly Bobo-speaking
Y,(multiple),,,,Sevare,,14.533,-4.100,"multilingual, mostly Fulfulde and Bambara",,,,the fast-growing city at the turnoff for Mopti from the main Bamako to Gao highway
Y,(multiple),,,,Sofara,,14.016,-4.066,"multilingual, mostly Fulfulde and Bambara, also Tomo-Kan",,,,
,Atlantic,Fulfulde,peul (French),Fulfulde,Adakaoura-Fulbe,àná-kàrúwà (Togo Kan),14.102,-3.369,,,,Boli,Fulbe village (huts) inear Adakoura (Togo Kan village); farming and herding
,Atlantic,Fulfulde,peul (French),Fulfulde,Aïnga,ayiŋga,,,,,,,small village on summit near Nokara
,Atlantic,Fulfulde,peul (French),Fulfulde,Amba (Fulbe),amba,14.776,-3.551,,leatherworkers,,"Babadji (leatherworkers), Tamboura (Rimaibe), Bari (Fulbe)","village on flat part of plateau; school; leatherworkers from Kendié, Rimaïbé and Fulbe settled from De"
,Atlantic,Fulfulde,peul (French),Fulfulde,Amdallaye,hamdalla:y,14.333,-4.116,,,,,
,Atlantic,Fulfulde,peul (French),Fulfulde,Anga,aŋga,14.722,-3.569,"Fulfulde is dominant language, but most are ethnic Dogon",,,"Bamiya (chief's family), Karambe, Nantoumme, Koloba (leatherworkers), Dolo (from Sangha), Guindo","village on plateau among ravines and rock pools; originally settled by Fulbe from Dé and Amba in Tommo-So zone; extensive year-round gardens adjacent to village (mango, banana, sugar cane, cassava)"
,Atlantic,Fulfulde,peul (French),Fulfulde,Balaguira-Foulbe,balgina-fulɓe (Fulfulde); bàlà-gìnà fúlàmbò: (Tomo-Kan),,,,,,"Sangare, Diallo, Diagayete, Diakite, and Baye (Fulbe); Tamboura, Traore, and Koulibaly (Rimaibe)",[near Balaguira-Habe] village; Fulbe and Rimaibe
,Atlantic,Fulfulde,peul (French),Fulfulde,Banggel-Diaoule,"baanggel-jawle (""mountain-guinea.fowl"")",15.270,-1.785,,,,Diallo,"village in plains not far from la Main de Fatouma mountain;  mostly herding, some farming"
,Atlantic,Fulfulde,peul (French),Fulfulde,Bankisa,baŋkisa,15.204,-2.776,,,,Diallo,small village; Fulbe; in March most people out in fields with animals to supply manure
,Atlantic,Fulfulde,peul (French),Fulfulde,Baraboule,barabulle,14.216,-1.850,,,,Dicko,town in Burkina Faso
,Atlantic,Fulfulde,peul (French),Fulfulde,Beeri,beeri,14.634,-3.859,,,,"Bari, Diallo",Fulbe-Rimaibe hamlet on plain
,Atlantic,Fulfulde,peul (French),Fulfulde,Bile-Dounggouwal,bile-duŋguwal,15.250,-1.787,,,,Diallo,"small village in rock-strewn plain near fields, near Mt Wari and la Main de Fatouma; originally split off from Banggel-Diaoule; mostly herding, some farming"
,Atlantic,Fulfulde,peul (French),Fulfulde,Binedama,"bindama (Fulfulde), bìrⁿédɔ̀wⁿɔ́ (Jamsay)",14.456,-3.055,,,,"Bari (Fulbe), Tamboura (Rimaibe)",village in plains on a small elevation; Fulbe and Rimaibe
,Atlantic,Fulfulde,peul (French),Fulfulde,Birga-Pulo,,14.033,-3.256,,,,Bari,"sister village for Birga (Togo Kan), in plains; farming and herding"
,Atlantic,Fulfulde,peul (French),Fulfulde,Bobowel,bobowel,15.070,-3.350,,,,(multiple),village in plain
,Atlantic,Fulfulde,peul (French),Fulfulde,Bombori-Ouro (near Sambere) (photo),,,,,,,,
,Atlantic,Fulfulde,peul (French),Fulfulde,Boni,booni,15.073,-1.219,,,"Thursday, large regional market",,"large town just off highway, becoming cosmopolitan"
,Atlantic,Fulfulde,peul (French),Fulfulde,Boula,bula,15.207,-2.685,,,,"Diallo (Fulbe), Tamboura (Rimaibe)","village in two parts; on shelf near bottom of mountain, Fulbe-Rimaibe; on plains near base of mountain; farming and herding; gardening (tobacco)"
,Atlantic,Fulfulde,peul (French),Fulfulde,Bounti,bunti,15.206,-2.575,,,,"Tamboura (Fulbe-Rimaibe), Diallo (Fulbe)","village in two parts; at base of mountain, Fulbe-Rimaibe (Tamboura); farther out in plains around wells, Fulbe (Diallo); farming and herding"
,Atlantic,Fulfulde,peul (French),Fulfulde,Dala,dalla,15.101,-2.637,,,"Tuesday, medium","Dicko (Fulbe), Tamboura (Fulbe-Rimaibe)",village at base of mountain; Fulbe and Fulbe-Rimaibe; farming and herding
,Atlantic,Fulfulde,peul (French),Fulfulde,Dari (near Hombori),daari,15.250,-1.787,,tourism (climbers),,Diallo,village in rock-strewn plain at base of la Main de Fatouma; tourist camp for mountain climbers; herding and some farming
,Atlantic,Fulfulde,peul (French),Fulfulde,Dari (near Nienagou),"daari (Fulfulde), dà:rí (Bangime)",14.770,-3.835,,,,"Cisse, Sidibe, Diallo, Sangare, Tamboura",village on plains near hill; Fulbe-Rimaibe; farming and herding
,Atlantic,Fulfulde,peul (French),Fulfulde,Dari (near Sambere) (photo),,,,,,,,
,Atlantic,Fulfulde,peul (French),Fulfulde,Dari-Wouro,daar-wuro,14.488,-3.609,,,,Diallo,small Fulbe village paired with Dari (Dogulu) on high plateau near seasonal river; herding and light farming
,Atlantic,Fulfulde,peul (French),Fulfulde,Debere,,15.100,-3.016,,,,,
,Atlantic,Fulfulde,peul (French),Fulfulde,Derou,"deeru (Fulfulde), dè:rú (Togo Kan)",14.037,-3.234,,,,Bari,Fulfulde hamlet in plains; farming and herding
,Atlantic,Fulfulde,peul (French),Fulfulde,Dianvély (Fulbe),jaŋweli,14.587,-3.959,,,,Sidibe,Fulbe village in sandy plains near Sevare
,Atlantic,Fulfulde,peul (French),Fulfulde,Diengeni-Foulbe,"jeŋeni-fulbe (Fulfulde), jɛ̀ŋɛ̀-fúlàmbò: (Tomo-Kan)",,,,,,"Diagayete, Diakite, Diallo, and Sangare (Fulbe); Tamboura, Traore, and Djiguende (Rimaibe); Landoure (Diango)","Fulfulde-speaking village next to smaller Dogon village Diengeni-Habe; Fulbe, Rimaibe, and Diango cattle merchants [ja:ngo]"
