code (Eng),subcode (Eng),code (fr),sous-code (fr),code #,subcode #,order,short,court,ref#,jpg,video,date,comment,English,français,core,"Toro Tegu (Toupere, JH)","Ben Tey (Beni, JH)","Bankan-Tey (Walo, JH)","Nanga (Anda, JH)",Jamsay (alphabet),"Jamsay (Douentza area, JH)","Perge Tegu (Pergué, JH)","Gourou (Kiri, JH)","Jamsay (Mondoro, JH)","Togo-Kan (Koporo-pen, JH with BT)","Yorno-So (Yendouma, JH and DT)",Ibi-So (JH),Donno-So,Tomo Kan (Segue),Tomo Kan (Diangassagou),"Tommo So (Tongo Tongo, combined)","Tommo So (Tongo Tongo, JH)",,"Tommo-So (Tongo Tongo, LM)","Dogul Dom (Bendiely, BC)",Tebul Ure (JH),"Yanda Dom (Yanda, JH)","Najamba (Kubewel-Adia, JH)","Tiranige (Boui, JH)",Mombo JH,"Mombo (Songho, KP)","Ampari (Nando, JH)","Ampari (Nando, KP)",Bunoge (Boudou),Penange (Pinia),,"Bangime (Bounou, JH)","Bangime (Bounou, AH)",,HS Songhay,TSK Songhay,,species,family,book p.,synonymy,comment,domain,specimen
fauna,annelid,faune,annélide,201,1,1,,,60692,,,2011,,leech,sang-sue,,màlúbù,gǐ:lì-m\\gǐ:lì,zíndî-m,tòndô,,jí:lùm,jí:lím,,,,dìgú,xxx,tùn-tûŋ,jígí,jígî:,túndúm,túndúm,,túndúm,tɔ́ndùgù,díjè,tìndù,tíndè\\tíndè-mbò,,tóndó,tóndó  ,tóndó,,xxx (Ful mbalku),nɛ̀gù,,,,,nálg-ò,ʔànnɔ̀:n-íyà,,,"Annelida, Clitellata, Hirudinea",,,,fauna (annelid),"2004_033, 2010_020"
fauna,annelid,faune,annélide,201,1,2,,,60001,,,2011,,earthworm,"ver de terre, lombric",,,sì-si᷈:-m\\sì-si᷈:,,"dɔ̀rⁿɔ́-kɛ́ndɛ̀ (""earth-heart"")",,,"[ùsù-bày]-[bɛ̀rɛ̀-kɔ́rɔ̀] (""earth-intestine"")",,,sùⁿ-súⁿ,,,,ʔɛ̀ⁿ-kòlɛ́ⁿ,,sùdùú ~ sùdú,sùdùú,,sùdú,,,,"úbé sì-sì:\\úbé sì-sì:-mbò (""manure-grub"")",,sì:sí,sìsí  ,sǒ: òrùwé,,,,,,,,ʔáŋ-gér-ò ~ ʔán-jér-ò,"gándá ꜜtáylí (""ground-intestine"")",,,"Annelida, Clitellata, Oligochaeta, Haplotaxida, Lumbricina",,,,fauna (annelid),2006_057
fauna,arthropod (arachnid),faune (arachnid),arthropode (arachnide),201,5,3,,,60002,,,2011,,small scarlet-red velvet mite that emerges in fields after rains,petit acarien rouge vif sp. qui sort dans les champs après les pluies,,àrⁿá pùŋùlò bárⁿí:,"bòlú nárⁿà (""rain's mother"")",bònú nárⁿà,"bòndí dê: (""rain's mother"")",,"àrⁿá-nâ: (""rain-mother"")",àrⁿá-nâ:,,,àràkárá bájì:ⁿ,"álágálá-nà (""sky-mother"", i.e. ""weather-mother"")","àgá:-nà (""sky-mother"")","ɔ̀gɔ́-ŋ bànù-bànù (""Hogons' red-red"")",ʔɛ̀lɛ̀-ʔí:ⁿ,"ɛ̀lɛ̀-íⁿ (""rain-child"")","àná nà (""rain's mother"")","àná nà (""rain's mother"")",,"àná nà (""rain's mother"")","bà:bá ná:-gù (""crocodile ..."")","àrⁿá nànà (""rain's mother"")",,sâ:-bánè\\sâ:-[bân-bò],"á: bě: (""God's child"")",ɔ̀gɔ̀-bórí,,nǎ: sùgɔ̀,nǎ: súgɔ̀,xxx,"àmànà-nà: (""God-cow"")",,ŋàrámbìyɛ̀,,,"cìɲɲ-í:z-ò ~ cìɲɲà íz-ò: (""rain's child"")","bàwná-sǎŋkà (""rain-friend"")",,Dinothrombium tinctorium (cf.),"Arthropoda, Arachnida, Acari, trombidiformes, Trombidiidae",,,,fauna (arthropod),2005_047
fauna,arthropod (arachnid),faune (arachnid),arthropode (arachnide),201,5,1,,,60003,,,2011,,spider,araignée,,yòrù-[tí-rⁿú],nì-nɔ̀:rⁿɔ̌y-m\\nì-nɔ̀:rⁿɔ̌y,àzàzá:rⁿâ-m,nà-nà:rⁿá,,nì-nɔ̀:rⁿɔ́,kúwɔ́-jô:,,,nɔ̀nɔ̀:rⁿɔ́,jí-jà:ⁿ (also wind scorpion),jí-jàⁿ,nànú,lɔ̀lɔ̀,lɔ́-lɔ̀:,"jì-jìbú ~ jìbì-jìbú, ɲààɲá (less common term)",jìjìbú,,jìjìbú,nànáŋ,nɔ̀:rⁿɔ́,nà-nà:rⁿà,"gɔ́ŋɔ́-mbó pìndì:, ɲòŋòlò-ɲóŋòlò","kòbì-nà-kóbì, jɛ̀jì-tí: (""weaver of cotton string"")",ná:nú,ná:nú  ,árà,árá,bòjé,gɛ̀jìtì,,"tá:rè, à-tà:rè-dággè (""small"")",,,dà-dà:r-ò,ʔàtàtá:rú\\-ɔ́:,,,"Arthropoda, Arachnida, Araneae",,,,fauna (arthropod),
fauna,arthropod (arachnid),faune (arachnid),arthropode (arachnide),201,5,4,,,60004,,,2011,,"wind scorpion, sun scorpion",solifuge,,yⁿàŋà-yⁿáŋà,"lɔ̀sɔ̂: jô:-m\\jô: (""feet many"")",zà:yzà:yú-m,"kùwɔ́-sɔ̂y (""foot-seven"" in Tommo-So)",,"bù-bò:ró (Fombori), à-dɔ̀rɔ̀m-bàjú (vaguely ""testicles-pull"")","bɔ́lɔ̀, kúwɔ́-yá:rà",,,bàjù-nà:-bájú,jí-jà:ⁿ (also spider),yó:gò-yó:gò,"nànù-sàŋàmá (""spider-..."")",ʔɛ̀lìyɛ̀lɛ̀-bóndó,"ɛ́líyɛ́lɛ́, kùgèⁿ-jámbà (""chick-scare"")",jígú-màà-jígú ~ jígí-màà-jígí (jígú 'catch'),jìgì-màà-jígì,,"jígú-màà-jígú (iteration involving jígú 'catch, snatch' and meaningless middle element)",ànámbù-dé:lì,dʷà:ⁿ-bàdé,,"àjà-tálé\\àjà-tál-mbó (""Adia.village-hunter"")",ání,ɲâ:,ɲâ: ,"árà, árà-bójèrè",árá,yà:lá-yà:là,jòyŋgà,,"tá:rè, à-tà:rè-bɔ́:rⁿú (""big"")",,,"gàráŋ-ꜜgárm-ò, ʔàndèŋ-ò ká:g-ù",hánsì dó:rì\\-ǒ:,,Galeodes olivieri,"Arthropoda, Arachnida, Solifugae (=Solpugida)",,,"fast-moving, walls; resembles Eremiaphila mantis",fauna (arthropod),"2005_043, 2005_070"
fauna,arthropod (myriapod),faune,arthropode (myriapode),201,6,4,,,60005,,,2011,,millipede and centipede spp.,mille-pattes et centipède spp.,,,,,,,,,,,,kàn-kɔ́ⁿ,,,,,ɛ̀ndɛ̀-kùmɔ́ ~ -kùmó (especially giant millipede),,,ɛ̀ndɛ̀ kùmɔ́ (man's name plus 'seer'),,,,gwà:-njílé\\gwà:-[njíl-mbó],,gɔ̀mɛ́ⁿ-sàlìyè,gɔ̀mɛ́ sà:rì ,,,,,,,,,,ʔàlàŋgɔ̀rmɔ́,,(various),"Arthropoda, Myriapoda",,,,"fauna (arthropod, centipede/millipede)",
fauna,arthropod (myriapod),faune,arthropode (myriapode),201,6,5,,,60006,,,2011,,thin centipede,centipède mince,,,,,,,,,,,,,,,,,,,,,,,,gwà:-njìlè mɛ̀njí:\\mɛ̀njú-mbó,,,,,,,,,,,,,,,,"Arthropoda, Myriapoda",,,,"fauna (arthropod, centipede/millipede)",
fauna,arthropod (myriapod),faune,arthropode (myriapode),201,6,6,,,60007,,,2011,,long thin centipede sp.,centipède long et mince sp.,,,,,"nàŋá gɔ́ŋ-gɔ̀ŋ (""cow centipede"", eaten by cows along with grass), gɔ̀ŋ-gɔ̀ŋ pírí",,,gòndògòm sɛ̀ŋɛ́rɛ̀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arthropoda, Myriapoda",,,,"fauna (arthropod, centipede/millipede)",2010_023 Pergue
fauna,arthropod (myriapod),faune,arthropode (myriapode),201,6,7,,,60008,,,2011,,thin red centipede/millipede near water,centipède/mille-pattes mince rouge au bord de l'eau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arthropoda, Myriapoda",,,,"fauna (arthropod, centipede/millipede)",2010_022
fauna,arthropod (myriapod),faune,arthropode (myriapode),201,6,8,,,60636,,,2011,,small long-legged centipede,petit centipède sp. à longues pattes,,,,,,,,,,,,,,,,,ɲùŋùlù-ɲúm,ɲùŋùlù-ɲúm,,,,,,,,,,,,,,,,,,,,,,"Arthropoda, Myriapoda, Chilopoda",,,,"fauna (arthropod, centipede/millipede)",2010_051
