code (Eng),subcode (Eng),code (fr),sous-code (fr),code #,subcode #,order,short,court,ref#,jpg,video,date,comment,English,français,core,"Toro Tegu (Toupere, JH)","Ben Tey (Beni, JH)","Bankan-Tey (Walo, JH)","Nanga (Anda, JH)",Jamsay (alphabet),"Jamsay (Douentza area, JH)","Perge Tegu (Pergué, JH)","Gourou (Kiri, JH)","Jamsay (Mondoro, JH)","Togo-Kan (Koporo-pen, JH with BT)","Yorno-So (Yendouma, JH and DT)",Ibi-So (JH),Donno-So (JH),Tomo Kan (Segue),Tomo Kan (Diangassagou),,"Tommo So (Tongo Tongo, JH)","Tommo-So (Tongo Tongo, LM)","Dogul Dom (Bendiely, BC)",Tebul Ure (JH),"Yanda Dom (Yanda, JH)","Najamba (Kubewel-Adia, JH)","Tiranige (Boui, JH)",Mombo JH,"Mombo (Songho, KP)","Ampari (Nando, JH)","Ampari (Nando, KP)",Bunoge (Boudou),Penange (Pinia),,"Bangime (Bounou, SE/JH)","Bangime (Bounou, AH)",,HS Songhay,TSK Songhay,,species,synonymy,book p,comment,domain,specimens
flora,fern,flore,fougère,200,2,1,,,50002,,,2011,,fern sp.,fougère sp.,,,,"àrkɛ̀ndɛ̀-nǎ: (""gecko-hand"", as in TSK)",ɔ̀rɔ̂ sàwà,,,,,,,,,,,,,pɛ̀ndù-gúbɔ́ (used as salve for burns),"tàbà sírú (""touch ..."") xxx[verify]",pɛ́sɛ̀,"[zàm-pɛ̀ndì:]-lǎ: (""gecko-foot"")",,"gólò ɲàlàl-ŋgò\\gólò ɲàlàlè (""fire's co-wife"")",,,,,,xxx,,,,,,,"ʔàŋkìláŋ-kàmbɛ̀ (""gecko-hand"")",,Actiniopteris radiata,,,inselberg summits,plant (fern),
flora,fungus,flore,champignon,200,3,1,,,50005,,,2011,,puffball,cèpe ,,zìrⁿá,"púlɔ̌-m dɔ́rɔ̀ kùrⁿùm (""Fulbe's penis macari"")","tǎm̀ bàtà (""hyena's tomtom"")","pìrà-dɛ̀rⁿí (""agama-tooth"")",,"tǎ:-búgúrú (""hyena-..."")",,"[tì-tà:]-běn (""hyena-tomtom"")",,tà:-búgú,,tà:-bǒy,tà:bǒy,págú,bùgû:,,tàràà-bǒy,"tàràà bóy, tàràà-bǒy (""leopard-tomtom"", JH < Z)","tá:-bòmbò (""hyena-..."")","pùlɔ̀-dɛ̀gɛ́ (""Fulbe-penis"")","pùlà-dɛ̂: (""Fulbe-penis""), pùlá-mù dɛ̀: (""Fulbe's penis"")","[bòmbò jàlá-mbó] dàgè (""snakes' medicine"")",dólóyò (Boui),"tà:-bɔ́ŋgɔ́ (""hyena-..."")",,tù:ré-pùjè,túwéré pújè,,,,pùndàntóy (JH 05),,,"fàrk-ò bênd-ô (""donkey's penis"")","kɛ̀:-bǐ: tû:r-ó: (""foot-wound's medicine"")",,Podaxis pistillaris,,,"capless easily crumbled mushroom, often ""Fulbe penis"" etc.",plant (fungus),
flora,lichen,flore,lichen,200,4,1,,,50680,,,2011,imported spice,dried lichen (spice),lichen séché (épice),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pseudevernia furfuracea,,,Timbuktu spice (dried),plant (lichen),
flora,other,flore,autre,200,1,1,,,50001,,,2011,,algae-like floating plants,algues et plantes flottantes pareilles,,bɔ́-bɔ́rɔ́,"nì:-nɔ̀:rⁿɔ̌yⁿ (""water-spider"")",,,,ɔ̀rɔ̀wɔ́,nɔ̀-nɔ̀:rⁿú,,,yà:-yɔ́rɔ́,ɔ̂r,,,,,,nònó (used as salve for burns),wélú xxx[verify] [means 'fodder' JH < Z],ɔ̀rɔ̀njàɲɲí,,nà-nà:rⁿà,nà:nɛ̌:,dálá (Boui),ɔ̀ndɔ̀-[kálà-kálà],,kóró,kóró,,,,bɔ́rgì (2011),,,cílínt-ò ~ kílínt-ò,nɔ̀-nɔ̀nɔ́,,,,,pond scum (but cf. Najas),plant (algae),
flora,fern,flore,fougère,200,2,2,,,50003,,,2011,,fern sp.,fougère (flottante) sp.,,,ɛ̀kùnjù-[ɛ̀lɛ̀y-wâ:],,"òrì-sàwâ (""mouse-grass"")",,,ní:-sǔ:rò,,,,,,,,,,àwá [also Pistia],"kùùlú [JH < Z], àwá [also Pistia; refers only to Pistia JH < Z]",,,,"íŋgé-kùl bèmbèrè (""water-interior's vine"")",,,,,,,,,,,,,,,Marsilea minuta (cf.),,,"floating, like 4-leaf clover",plant (fern),
flora,fungus,flore,champignon,200,3,2,,,50006,,,2011,,mushroom (with cap),"cèpe, champignon",,"zìrⁿá, tɛ́nǎm bórù (""hyena's ..."")","púlɔ̌-m dɔ́rɔ̀ kùrⁿùm (""Fulbe's penis macari"")","tǎm̀ bàtà (""hyena's tomtom"")",gɔ̀ŋgɔ̀m pítî,,"[tì-tà:]-běn (""hyena-tomtom"")",pùlɔ̀-dɔ́rɔ́,,,púlɛ́:ⁿ-tɛ̀rɛ̀,tà:-bǒy,tà:-bǒy,,págú,fùlà:ⁿ-cɛ̀rɛ̀ bùrɛ́,,,,"tá:-bòmbò (""hyena-..."")",,tà:-bùrú,"[tùmbùl-mbò]-bònî: (""hyenas-tomtom"")",tà:-bôŋ (Boui),"tólò jíbìlì (""termitary wide.hat"")",,kìmɛ̀-gé dɛ̀ndɛ̀,kímɛ́gé dɛ́:ndɛ̀,"kà:yⁿé bǒllè (""hyena-tomtom"")",,,,,,,"kɔ̀rɔ̀-bàtá (""hyena-drum"")",,,,,,plant (fungus),
flora,fern,flore,fougère,200,2,3,,,50004,,,2011,,fern sp.,fougère sp.,,,,,,,,"ɔ̀yɔ̀-bèrè-î:ⁿ (""grass-stick-child"")",,,,,,,,,,,,,,,,,,,àgà-sôŋ,ágá sô:ⁿ,,,,,,,,sàŋgá,,Christella or Cyclosorus (cf.),,,classic erect fern,plant (fern),
flora,fungus,flore,champignon,200,3,3,,,50007,,,2011,,mushroom (on tree),champignon (sur un tronc d'arbre),,,tì-ta᷈:-m bàtà,,,,,pùlɔ̀-dɔ́rɔ́,,,,,,,,,,tàràà-bǒy,,,,,,,,,túwéré pùjè,,,,,,,,"tàbíy-à: gúl-ò (""hare's tomtom"")",,,,,,,plant (fungus),
flora,flowering,flore,fleurissant,200,5,Acanthaceae,,,50008,,,2011,,medicinal herb sp.,plante herbacée médicinale sp.,,yⁿòŋ-tólúró,ɲǎm sómdò,,kìyà-dɔ́rɔ̂,,ɲá:m-sómdù (Fombori),tútùgúrò,,,,yⁿàŋgám-só:nò,xxx,,"ɲàʔàⁿ-ká (""guinea.fowl-..."")",,,kùyⁿɔ̀-dɔ́lɔ̀,xxx[elicit],yàgùmá-tòɲùlò,àmbàrà-dwá:,,,,,,bàràmá jɛ́mbɛ́rɛ́,bárámá jémbéré,xxx,,,yɔ̀rɔ̀-yɔ́rɔ̀ (2011),,,fírw-ò,fírò,,Blepharis linariifolia,,,tall blue central flower spike,plant,2004_261/262
flora,flowering,flore,fleurissant,200,5,Acanthaceae,,,50009,,,2011,,herb sp.,plante herbacée demi-ligneuse sp.,,,,,,,,,,,,,,,,,,,,,,,tágábàl,,,,,,,,,,,,,,,Blepharis maderaspatensis subsp. rubiifolia,,,"shrubby herb, small white flowers",plant,2004_258a Najamba
